,kdate_list,kconc_list,kfluc_list,sdate_list,sconc_list,sfluc_list
1,2020.09.10,"2,396.48",0.87%,2020.09.10,"59,200",1.37%
2,2020.09.09,"2,375.81",-1.09%,2020.09.09,"58,400",-0.51%
3,2020.09.08,"2,401.91",0.74%,2020.09.08,"58,700",3.89%
4,2020.09.07,"2,384.22",0.67%,2020.09.07,"56,500",1.62%
5,2020.09.04,"2,368.25",-1.15%,2020.09.04,"55,600",-1.42%
6,2020.09.03,"2,395.90",1.33%,2020.09.03,"56,400",3.68%
7,2020.09.02,"2,364.37",0.63%,2020.09.02,"54,400",0.37%
8,2020.09.01,"2,349.55",1.01%,2020.09.01,"54,200",0.37%
9,2020.08.31,"2,326.17",-1.17%,2020.08.31,"54,000",-2.53%
10,2020.08.28,"2,353.80",0.40%,2020.08.28,"55,400",-0.36%
11,2020.08.27,"2,344.45",-1.05%,2020.08.27,"55,600",-1.42%
12,2020.08.26,"2,369.32",0.11%,2020.08.26,"56,400",0.00%
13,2020.08.25,"2,366.73",1.58%,2020.08.25,"56,400",0.53%
14,2020.08.24,"2,329.83",1.10%,2020.08.24,"56,100",0.36%
15,2020.08.21,"2,304.59",1.34%,2020.08.21,"55,900",0.90%
16,2020.08.20,"2,274.22",-3.66%,2020.08.20,"55,400",-4.15%
17,2020.08.19,"2,360.54",0.52%,2020.08.19,"57,800",-1.03%
18,2020.08.18,"2,348.24",-2.46%,2020.08.18,"58,400",0.69%
19,2020.08.14,"2,407.49",-1.23%,2020.08.14,"58,000",-1.19%
20,2020.08.13,"2,437.53",0.21%,2020.08.13,"58,700",-0.51%
21,2020.08.12,"2,432.35",0.57%,2020.09.10,"59,200",1.37%
22,2020.08.11,"2,418.67",1.35%,2020.09.09,"58,400",-0.51%
23,2020.08.10,"2,386.38",1.48%,2020.09.08,"58,700",3.89%
24,2020.08.07,"2,351.67",0.39%,2020.09.07,"56,500",1.62%
25,2020.08.06,"2,342.61",1.33%,2020.09.04,"55,600",-1.42%
26,2020.08.05,"2,311.86",1.40%,2020.09.03,"56,400",3.68%
27,2020.08.04,"2,279.97",1.29%,2020.09.02,"54,400",0.37%
28,2020.08.03,"2,251.04",0.07%,2020.09.01,"54,200",0.37%
29,2020.07.31,"2,249.37",-0.78%,2020.08.31,"54,000",-2.53%
30,2020.07.30,"2,267.01",0.17%,2020.08.28,"55,400",-0.36%
31,2020.07.29,"2,263.16",0.27%,2020.08.27,"55,600",-1.42%
32,2020.07.28,"2,256.99",1.76%,2020.08.26,"56,400",0.00%
33,2020.07.27,"2,217.86",0.79%,2020.08.25,"56,400",0.53%
34,2020.07.24,"2,200.44",-0.71%,2020.08.24,"56,100",0.36%
35,2020.07.23,"2,216.19",-0.56%,2020.08.21,"55,900",0.90%
36,2020.07.22,"2,228.66",-0.01%,2020.08.20,"55,400",-4.15%
37,2020.07.21,"2,228.83",1.39%,2020.08.19,"57,800",-1.03%
38,2020.07.20,"2,198.20",-0.14%,2020.08.18,"58,400",0.69%
39,2020.07.17,"2,201.19",0.80%,2020.08.14,"58,000",-1.19%
40,2020.07.16,"2,183.76",-0.82%,2020.08.13,"58,700",-0.51%
41,2020.07.15,"2,201.88",0.84%,2020.09.10,"59,200",1.37%
42,2020.07.14,"2,183.61",-0.11%,2020.09.09,"58,400",-0.51%
43,2020.07.13,"2,186.06",1.67%,2020.09.08,"58,700",3.89%
44,2020.07.10,"2,150.25",-0.81%,2020.09.07,"56,500",1.62%
45,2020.07.09,"2,167.90",0.42%,2020.09.04,"55,600",-1.42%
46,2020.07.08,"2,158.88",-0.24%,2020.09.03,"56,400",3.68%
47,2020.07.07,"2,164.17",-1.09%,2020.09.02,"54,400",0.37%
48,2020.07.06,"2,187.93",1.65%,2020.09.01,"54,200",0.37%
49,2020.07.03,"2,152.41",0.80%,2020.08.31,"54,000",-2.53%
50,2020.07.02,"2,135.37",1.36%,2020.08.28,"55,400",-0.36%
51,2020.07.01,"2,106.70",-0.08%,2020.08.27,"55,600",-1.42%
52,2020.06.30,"2,108.33",0.71%,2020.08.26,"56,400",0.00%
53,2020.06.29,"2,093.48",-1.93%,2020.08.25,"56,400",0.53%
54,2020.06.26,"2,134.65",1.05%,2020.08.24,"56,100",0.36%
55,2020.06.25,"2,112.37",-2.27%,2020.08.21,"55,900",0.90%
56,2020.06.24,"2,161.51",1.42%,2020.08.20,"55,400",-4.15%
57,2020.06.23,"2,131.24",0.21%,2020.08.19,"57,800",-1.03%
58,2020.06.22,"2,126.73",-0.68%,2020.08.18,"58,400",0.69%
59,2020.06.19,"2,141.32",0.37%,2020.08.14,"58,000",-1.19%
60,2020.06.18,"2,133.48",-0.35%,2020.08.13,"58,700",-0.51%
